Race Session (date),Piece,KM,Rigging,Personnel,Result
1/5/2012,1,4,c/p/s/p/s,Gennaro/Bertoldo/Banks/Monaghan,13:05
1/5/2012,1,4,c/p/s/p/s,Struzyna/Otto/Shald/Koven,13:09
1/5/2012,1,4,p/s,McEachern/Guregian,14:52
1/5/2012,2,4,c/p/s/p/s,Gennaro/Bertoldo/Banks/Monaghan,13:19
1/5/2012,2,4,c/p/s/p/s,Struzyna/Otto/MCEACHERN/Koven,13:28
1/5/2012,2,4,p/s,Shald/Guregian,15:06
1/5/2012,3,4,c/p/s/p/s,Gennaro/Bertoldo/Banks/Monaghan,13:18
1/5/2012,3,4,c/p/s/p/s,Struzyna/Otto/SHALD/Guregian,13:13
1/5/2012,3,4,p/s,McEachern/Koven,14:58
1/7/2012,1,2,c/p/s/p/s,Walsh/Coppola/Stafford/Peszek,06:24.3
1/7/2012,1,2,c/p/s/p/s,"Inman/Kasprzyk/James,R./James,G.",06:25.2
1/7/2012,11,2,c/p/s/p/s/p/s/p/s,Gennaro/Bertoldo/Struzyna/Otto/McEachern/Guregian/Banks/Koven,05:50.0
1/7/2012,11,2,p/s,Shald/Monaghan,07:19.0
1/7/2012,2,2,c/p/s/p/s,"Walsh/Coppola/JAMES,R./Peszek",06:24.0
1/7/2012,2,2,c/p/s/p/s,"Inman/Kasprzyk/STAFFORD/James,G.",06:24.0
1/7/2012,12,2,c/p/s/p/s/p/s/p/s,Gennaro/Bertoldo/Struzyna/Otto/McEachern/Guregian/Banks/MONAGHAN,05:49.0
1/7/2012,12,2,p/s,Shald/Koven,07:09.0
1/7/2012,3,2,c/p/s/p/s,Walsh/Coppola/STAFFORD/Peszek,06:30.8
1/7/2012,3,2,c/p/s/p/s,"Inman/Kasprzyk/JAMES,R./James,G.",06:35.0
1/7/2012,13,2,c/p/s/p/s/p/s/p/s,Gennaro/Bertoldo/Struzyna/Otto/SHALD/Guregian/Banks/Monaghan,05:55.0
1/7/2012,13,2,p/s,McEachern/Koven,07:22.0
1/9/2012,1,2.3,c/p/s/p/s,Walsh/Coppola/Stafford/Peszek,08:13.2
1/9/2012,1,2.3,c/p/s/p/s,Struzyna/Bertoldo/Banks/Guregian,08:14.6
1/9/2012,2,2.3,c/p/s/p/s,Walsh/Coppola/Stafford/GUREGIAN,07:50.4
1/9/2012,2,2.3,c/p/s/p/s,Struzyna/Bertoldo/Banks/PESZEK,07:47.3
1/9/2012,3,2.3,c/p/s/p/s,Walsh/Coppola/BANKS/PESZEK,07:55.0
1/9/2012,3,2.3,c/p/s/p/s,Struzyna/Bertoldo/STAFFORD/GUREGIAN,08:08.0
1/9/2012,4,2.3,c/p/s/p/s,Walsh/BERTOLDO/Banks/Peszek,07:54.5
1/9/2012,4,2.3,c/p/s/p/s,Struzyna/COPPOLA/Stafford/Guregian,07:55.7
1/10/2012,1,2.3,c/p/s/p/s/p/s/p/s,"Inman/Kasprzyk/Blomquist/Otto/James,R./James,G./Gennaro/Monaghan",07:11.6
1/10/2012,1,2.3,c/p/s/p/s/p/s/p/s,Shald/Gallagher/McEachern/Holbrook/Melander/Koven/Spencer/Johnson,07:33.2
1/10/2012,2,2.3,c/p/s/p/s/p/s/p/s,"Inman/Kasprzyk/MCEACHERN/HOLBROOK/MELANDER/James,G./Gennaro/Monaghan",06:56.5
1/10/2012,2,2.3,c/p/s/p/s/p/s/p/s,"Shald/Gallagher/BLOMQUIST/OTTO/James,R./Koven/Spencer/Johnson",06:57.1
1/10/2012,3,2.3,c/p/s/p/s/p/s/p/s,"Inman/Kasprzyk/McEachern/OTTO/JAMES,R./James,G./Gennaro/Monaghan",07:10.4
1/10/2012,3,2.3,c/p/s/p/s/p/s/p/s,Shald/Gallagher/Blomquist/HOLBROOK/MELANDER/Koven/Spencer/Johnson,07:23.8
1/12/2012,1,3.4,c/p/s/p/s/p/s/p/s,"Inman/Kasprzyk/Blomquist/Otto/James,R./James,G./Gennaro/Monaghan",10:22.0
1/12/2012,1,3.4,c/p/s/p/s/p/s/p/s,Walsh/Coppola/Struzyna/Bertoldo/Stafford/Peszek/Banks/Koven,10:26.2
1/12/2012,2,3.4,c/p/s/p/s/p/s/p/s,"Inman/Kasprzyk/Blomquist/Otto/James,R./KOVEN/Gennaro/Monaghan",10:14.0
1/12/2012,2,3.4,c/p/s/p/s/p/s/p/s,"Walsh/Coppola/Struzyna/Bertoldo/Stafford/Peszek/Banks/James,G.",10:08.0
1/12/2012,3,3.4,c/p/s/p/s/p/s/p/s,"Inman/Kasprzyk/Blomquist/Otto/James,R./JAMES,G./Gennaro/Monaghan",10:42.0
1/12/2012,3,3.4,c/p/s/p/s/p/s/p/s,Walsh/Coppola/Struzyna/Bertoldo/Stafford/Peszek/Banks/KOVEN,10:50.0
1/12/2012,11,3.4,c/p/s/p/s/p/s/p/s,Morgan/Gallagher/Melander/Holbrook/Quie/Johnson/Spencer/Marcy,11:12.0
1/12/2012,11,3.4,c/p/s/p/s,Shald/Guregian/Stangel/McEachern,11:57.0
1/12/2012,12,3.4,c/p/s/p/s/p/s/p/s,Morgan/Gallagher/SHALD/Holbrook/Quie/Johnson/Spencer/Marcy,10:38.0
1/12/2012,12,3.4,c/p/s/p/s,MELANDER/Guregian/Stangel/McEachern,11:45.0
1/12/2012,13,3.4,c/p/s/p/s/p/s/p/s,Morgan/Gallagher/Shald/Holbrook/Quie/McEACHERN/Spencer/Marcy,11:15.0
1/12/2012,13,3.4,c/p/s/p/s,Melander/Guregian/Stangel/JOHNSON,12:26.0
