Race Session (date),Piece,KM,Rigging,Personnel,Result
11/11/2018,1,2,p/s/p/s,Stoep/Aghai/Weiss/Richards,06:20.0
11/11/2018,1,2,p/s/p/s,Moffitt/Furey/Wallis/Graves,06:23.0
11/11/2018,2,2,p/s/p/s,Stoep/Aghai/Weiss/Richards,06:20.0
11/11/2018,2,2,p/s/p/s,Moffitt/Furey/Wallis/Graves,06:23.0
11/11/2018,3,2,p/s/p/s,Stoep/Aghai/Weiss/Richards,06:20.0
11/11/2018,3,2,p/s/p/s,Moffitt/Furey/Wallis/Graves,06:24.0
11/28/2018,1,2,p/s,DiSanto/Peszek,07:00.0
11/28/2018,1,2,p/s,Landboe/Reed,07:03.0
11/28/2018,1,2,p/s,Eble/Karwoski,07:01.0
11/28/2018,1,2,p/s,Mead/Harrity,07:14.0
11/28/2018,2,2,p/s,Landboe/Reed,07:00.0
11/28/2018,2,2,p/s,DiSanto/Peszek,07:01.0
11/28/2018,2,2,p/s,Eble/Karwoski,07:04.0
11/28/2018,2,2,p/s,Mead/Harrity,07:02.0
11/28/2018,3,2,p/s,DiSanto/Peszek,07:00.0
11/28/2018,3,2,p/s,Eble/Karwoski,07:010.0
11/28/2018,3,2,p/s,Mead/Harrity,07:02.0
11/28/2018,3,2,p/s,Landboe/Reed,07:00.0
11/30/2018,1,2,p/s,Mead/Reed,07:00.0
11/30/2018,1,2,p/s,DiSanto/Karwoski,07:03.0
11/30/2018,1,2,p/s,Landboe/Harrity,07:13.0
11/30/2018,1,2,p/s,Eble/Peszek,07:23.0
11/30/2018,2,2,p/s,Mead/Reed,07:00.0
11/30/2018,2,2,p/s,DiSanto/Karwoski,07:04.0
11/30/2018,2,2,p/s,Landboe/Harrity,07:14.0
11/30/2018,2,2,p/s,Eble/Peszek,07:25.0
11/30/2018,3,2,p/s,Mead/Reed,07:00.0
11/30/2018,3,2,p/s,DiSanto/Karwoski,07:01.0
11/30/2018,3,2,p/s,Landboe/Harrity,07:15.0
11/30/2018,3,2,p/s,Eble/Peszek,07:25.0
12/5/2018,1,2,p/s/p/s,DiSanto/Harrity/Eble/Reed,06:20.0
12/5/2018,1,2,p/s/p/s,Landboe/Peszek/Mead/Richards,06:24.0
12/5/2018,2,2,p/s/p/s,DiSanto/Harrity/Eble/Reed,06:20.0
12/5/2018,2,2,p/s/p/s,Landboe/Peszek/Mead/Richards,06:30.0
12/5/2018,3,2,p/s/p/s,DiSanto/Harrity/Eble/Reed,06:20.0
12/5/2018,3,2,p/s/p/s,Landboe/Peszek/Mead/Richards,06:28.0
12/5/2018,4,2,p/s,Moffitt/Clougher,07:09.0
12/5/2018,4,2,p/s,Wallis/Davis,07:29.0
12/5/2018,4,2,p/s,Messner/Chance,07:49.0
12/5/2018,4,2,p/s,Weiss/Furey,07:23.0
12/5/2018,4,2,p/s,Stoep/Aghai,07:00.0
12/5/2018,5,2,p/s,Moffitt/Clougher,07:00.0
12/5/2018,5,2,p/s,Wallis/Davis,07:19.0
12/5/2018,5,2,p/s,Messner/Chance,07:32.0
12/5/2018,5,2,p/s,Weiss/Furey,07:13.0
12/5/2018,5,2,p/s,Stoep/Aghai,07:05.0
