Race Session (date),Piece,KM,Rigging,Personnel,Result
1/12/2021,1,3,p/s,Hack/Grady,10:38
1/12/2021,1,3,p/s,Mead/Harrity,10:34
1/12/2021,1,3,p/s,Weiss/Reed,10:40
1/12/2021,1,3,s/p,Carlson/Best,10:35
1/12/2021,1,3,p/s,Dean/Karwoski,10:35
1/12/2021,1,3,s/p,Peszek/DiSanto,10:38
1/12/2021,1,3,p/s,Corrigan/Davison,10:42
1/12/2021,2,3,s/p,Miklasevich/Dethlefs,10:37
1/12/2021,2,3,p/s,Hack/Grady,10:46
1/12/2021,2,3,p/s,Mead/Harrity,10:44
1/15/2021,2,2,p/s,Best/Carlson,6:53
1/12/2021,2,3,s/p,Peszek/DiSanto,10:44
1/12/2021,2,3,p/s,Corrigan/Davison,10:41
1/12/2021,3,3,s/p,Miklasevich/Dethlefs,10:40
1/15/2021,3,2,p/s,Best/Carlson,7:04
1/19/2021,1,3,p/s,Best/Carlson,10:43
1/12/2021,3,3,s/p,Peszek/DiSanto,10:44
1/12/2021,3,3,p/s,Corrigan/Davison,10:42
1/19/2021,2,3,p/s,Best/Carlson,10:58
1/12/2021,4,3,p/s,Hack/Grady,10:45
1/19/2021,3,3,p/s,Best/Carlson,10:38
1/19/2021,4,3,p/s,Best/Carlson,10:45
1/12/2021,4,3,s/p,Carlson/Best,10:43
1/12/2021,4,3,p/s,Dean/Karwoski,10:44
1/12/2021,4,3,s/p,Peszek/DiSanto,10:42
1/12/2021,4,3,p/s,Corrigan/Davison,10:39
1/21/2021,1,2,p/s,Best/Carlson,6:39
1/15/2021,1,2,p/s/p/s,Dean/Peszek/DiSanto/Karwoski,6:05
1/21/2021,2,2,p/s,Best/Carlson,6:43
1/15/2021,1,2,p/s,Corrigan/Davison,6:48
2/10/2021,1,3,p/s,Best/Grady,10:30
2/10/2021,2,3,p/s,Best/Grady,10:41
2/10/2021,3,3,p/s,Best/Grady,10:42
1/15/2021,2,2,p/s,Corrigan/Davison,6:43
2/10/2021,4,3,p/s,Best/Grady,10:49
2/12/2021,1,2,p/s,Best/Grady,6:30
2/12/2021,2,2,p/s,Best/Grady,6:35
1/15/2021,3,2,p/s/p/s,Dean/Peszek/DiSanto/Karwoski,6:18
2/25/2021,1,1.5,p/s,Best/Grady,4:49
1/15/2021,3,2,p/s,Corrigan/Davison,6:53
2/25/2021,2,1.5,p/s,Best/Grady,5:00
3/20/2021,2,3.5,p/s,Dethlefs/Davison,13:51
1/29/2021,1,2,p/s,Dethlefs/Grady,6:32
1/29/2021,2,2,p/s,Dethlefs/Grady,6:36
1/19/2021,1,3,p/s/p/s,Dean/Peszek/Weiss/Reed,9:39
1/19/2021,1,3,p/s,Corrigan/Davison,10:43
2/10/2021,1,3,p/s,Dethlefs/Harrity,10:29
2/10/2021,2,3,p/s,Dethlefs/Harrity,10:40
2/10/2021,3,3,p/s,Dethlefs/Harrity,10:42
2/10/2021,4,3,p/s,Dethlefs/Harrity,10:46
1/19/2021,2,3,p/s/p/s,Dean/Peszek/Weiss/Reed,9:50
1/19/2021,2,3,p/s,Corrigan/Davison,10:51
2/12/2021,1,2,p/s,Dethlefs/Harrity,6:32
2/12/2021,2,2,p/s,Dethlefs/Harrity,6:38
1/12/2021,3,3,p/s,Mead/Harrity,10:41
1/12/2021,4,3,p/s,Mead/Harrity,10:47
1/19/2021,3,3,p/s/p/s,Dean/Peszek/Weiss/Reed,9:31
1/19/2021,3,3,p/s,Corrigan/Davison,10:36
1/19/2021,1,3,p/s/p/s,Mead/Harrity/DiSanto/Karwoski,9:35
1/19/2021,2,3,p/s/p/s,Mead/Harrity/DiSanto/Karwoski,9:44
1/19/2021,3,3,p/s/p/s,Mead/Harrity/DiSanto/Karwoski,9:32
1/19/2021,4,3,p/s/p/s,Mead/Harrity/DiSanto/Karwoski,9:40
1/19/2021,4,3,p/s/p/s,Dean/Peszek/Weiss/Reed,9:42
1/19/2021,4,3,p/s,Corrigan/Davison,10:46
1/21/2021,1,2,p/s/p/s,Mead/Harrity/DiSanto/Karwoski,5:56
1/21/2021,2,2,p/s/p/s,Mead/Harrity/DiSanto/Karwoski,6:03
1/26/2021,1,3,p/s/p/s,Mead/Harrity/Wallis/Karwoski,9:32
1/26/2021,2,3,p/s/p/s,Mead/Harrity/Wallis/Karwoski,9:36
1/21/2021,1,2,p/s/p/s,Dean/Peszek/Weiss/Reed,5:56
1/21/2021,1,2,p/s,Corrigan/Davison,6:36
1/26/2021,3,3,p/s/p/s,Mead/Harrity/Wallis/Karwoski,9:47
1/26/2021,4,3,p/s/p/s,Mead/Harrity/Wallis/Karwoski,9:47
1/29/2021,1,2,p/s/p/s,Mead/Harrity/Wallis/Karwoski,5:58
1/15/2021,1,2,p/s/p/s,Mead/Harrity/Weiss/Reed,6:02
1/21/2021,2,2,p/s,Corrigan/Davison,6:38
1/15/2021,2,2,p/s/p/s,Mead/Harrity/Weiss/Reed,6:09
1/15/2021,3,2,p/s/p/s,Mead/Harrity/Weiss/Reed,6:20
1/12/2021,4,3,s/p,Miklasevich/Dethlefs,10:40
1/15/2021,1,2,s/p/p/s,Miklasevich/Dethlefs/Hack/Grady,6:02
1/26/2021,1,3,p/s/p/s,Dean/Richards/DiSanto/Peszek,9:33
1/26/2021,1,3,p/s/s/p,Corrigan/Davison/Carlson/Best,9:31
1/15/2021,2,2,s/p/p/s,Miklasevich/Dethlefs/Hack/Grady,6:05
1/15/2021,3,2,s/p/p/s,Miklasevich/Dethlefs/Hack/Grady,6:16
1/26/2021,2,3,p/s/p/s,Dean/Richards/DiSanto/Peszek,9:39
1/26/2021,2,3,p/s/s/p,Corrigan/Davison/Carlson/Best,9:42
1/19/2021,1,3,s/p/p/s,Miklasevich/Dethlefs/Hack/Grady,9:37
1/19/2021,2,3,s/p/p/s,Miklasevich/Dethlefs/Hack/Grady,9:48
1/26/2021,3,3,p/s/p/s,Dean/Richards/DiSanto/Peszek,9:43
1/26/2021,3,3,p/s/s/p,Corrigan/Davison/Carlson/Best,9:45
1/19/2021,3,3,s/p/p/s,Miklasevich/Dethlefs/Hack/Grady,9:30
1/19/2021,4,3,s/p/p/s,Miklasevich/Dethlefs/Hack/Grady,9:37
1/26/2021,4,3,p/s/p/s,Dean/Richards/DiSanto/Peszek,9:48
1/26/2021,4,3,p/s/s/p,Corrigan/Davison/Carlson/Best,9:49
1/29/2021,1,2,p/s/s/p,Corrigan/Davison/Carlson/Best,5:54
1/29/2021,1,2,p/s/p/s,Dean/Richards/DiSanto/Peszek,5:54
1/21/2021,1,2,s/p/p/s,Miklasevich/Dethlefs/Hack/Grady,5:55
1/21/2021,2,2,s/p/p/s,Miklasevich/Dethlefs/Hack/Grady,6:03
1/29/2021,1,2,s/p,Miklasevich/Hack,6:31
1/29/2021,2,2,s/p,Miklasevich/Hack,6:30
1/29/2021,2,2,p/s/s/p,Corrigan/Davison/Carlson/Best,5:54
1/29/2021,2,2,p/s/p/s,Dean/Richards/DiSanto/Peszek,5:55
1/29/2021,2,2,p/s/p/s,Mead/Harrity/Wallis/Karwoski,5:55
2/16/2021,1,3,s/p/p/s,Miklasevich/Hack/Best/Grady,9:15
2/16/2021,2,3,s/p/p/s,Miklasevich/Hack/Best/Grady,9:45
2/16/2021,3,3,s/p/p/s,Miklasevich/Hack/Best/Grady,9:33
2/2/2021,1,3,p/s/s/p,Corrigan/Davison/Grady/Best,9:19
2/2/2021,1,3,p/s/p/s,Dean/Harrity/DiSanto/Peszek,9:20
2/2/2021,1,3,p/s/p/s,Mead/Richards/Weiss/Reed,9:18
2/2/2021,1,3,s/p,Carlson/Wallis,10:27
2/2/2021,2,3,p/s/s/p,Corrigan/Davison/Grady/Best,9:34
2/2/2021,2,3,p/s/p/s,Dean/Harrity/DiSanto/Peszek,9:30
2/2/2021,2,3,p/s/p/s,Mead/Richards/Weiss/Reed,9:26
2/2/2021,2,3,s/p,Carlson/Wallis,10:39
2/2/2021,3,3,s/p,Carlson/Wallis,10:35
2/19/2021,1,2,s/p/p/s,Miklasevich/Hack/Best/Grady,5:56
2/2/2021,4,3,p/s/s/p,Corrigan/Davison/Karwoski/Best,9:29
2/2/2021,4,3,s/p,Carlson/Wallis,10:35
2/5/2021,1,2,p/s/s/p,Corrigan/Davison/Grady/Best,5:53
2/5/2021,1,2,p/s/p/s,Mead/Richards/Weiss/Reed,5:53
2/19/2021,2,2,s/p/p/s,Miklasevich/Hack/Best/Grady,5:58
2/5/2021,1,2,p/s/p/s,Dean/Harrity/DiSanto/Peszek,5:54
2/5/2021,2,2,p/s/s/p,Corrigan/Davison/Grady/Best,5:55
2/5/2021,2,2,p/s/p/s,Mead/Richards/Weiss/Reed,5:56
2/26/2021,1,1.5,s/p/p/s,Miklasevich/Hack/Best/Grady,4:22
2/5/2021,2,2,p/s/p/s,Dean/Harrity/DiSanto/Peszek,6:03
2/10/2021,1,3,p/s/p/s,Corrigan/Davison/Weiss/Reed,9:29
2/26/2021,2,1.5,s/p/p/s,Miklasevich/Hack/Best/Grady,4:26
2/10/2021,1,3,s/p,Carlson/Wallis,10:30
2/2/2021,4,3,s/p/p/s,Miklasevich/Hack/Dethlefs/Grady,9:28
2/5/2021,1,2,s/p/p/s,Miklasevich/Hack/Dethlefs/Karwoski,5:53
2/10/2021,2,3,p/s/p/s,Corrigan/Davison/Weiss/Reed,9:35
2/10/2021,2,3,p/s/p/s,Mead/Richards/Dean/Peszek,9:38
2/5/2021,2,2,s/p/p/s,Miklasevich/Hack/Dethlefs/Karwoski,5:56
2/25/2021,1,1.5,s/p/p/s,Miklasevich/Hack/Dethlefs/Karwoski,4:20
2/25/2021,2,1.5,s/p/p/s,Miklasevich/Hack/Dethlefs/Peszek,4:38
2/10/2021,3,3,p/s/p/s,Corrigan/Davison/Weiss/Reed,9:34
2/10/2021,3,3,p/s/p/s,Mead/Richards/Dean/Peszek,9:49
2/10/2021,1,3,s/p/p/s,Miklasevich/Hack/DiSanto/Karwoski,9:24
2/10/2021,3,3,s/p,Carlson/Wallis,10:43
2/10/2021,2,3,s/p/p/s,Miklasevich/Hack/DiSanto/Karwoski,9:34
